 ANN  25308 70398  55.03 131.57   37 Annette Island, AK
 YAK  25339 70361  59.52 139.67   10 Yakutat, AK
 ADQ  25501 70350  57.75 152.48    4 Kodiak, AK
 AKN  25503 70326  58.68 156.65   15 King Salmon, AK
 CDB  25624 70316  55.20 162.72   30 Cold Bay, AK
 SNP  25713 70308  57.15 170.22   10 St Paul Island, AK
 ANC  26409 70273  61.17 150.02   45 Anchorage IAP, AK
 FAI  26411 70261  64.82 147.87  135 Fairbanks, AK
 MCG  26510 70231  62.97 155.62  103 McGrath, AK
 BET  26615 70219  60.78 161.80   36 Bethel, AK
 OTZ  26616 70133  66.87 162.63    5 Kotzebue, AK
 OME  26617 70200  64.50 165.43    5 Nome AP, AK
 BRW  27506 70027  71.32 156.65    3 Barrow/Point Barrow, AK
 SYA  45715 70414  52.72 174.10   37 Shemya, AK
