 EPZ   3020 72364  31.90 106.70 1257 Santa Teresa, NM
 VEF   3120 72388  36.05 115.18  693 Las Vegas, NV
 YUM   3125 72280  32.87 114.33  131 Yuma, AZ
 1Y7   3125 74004  32.87 114.40   98 Yuma - Army P.G., AZ
 DRA   3160 72387  36.62 116.02 1007 Desert Rock, NV
 NKX   3190 72293  32.87 117.15  134 Miramar NAS, CA
 EDW   3197 72381  34.90 117.92  724 Edwards AFB, CA
 REV   3198 72489  39.57 119.80 1516 Reno, NV
 LCH   3937 72240  30.12  93.22    5 Lake Charles, LA
 JAN   3940 72235  32.32  90.07   91 Jackson, MS
 OUN   3948 72357  35.23  97.47  362 Norman, OK
 LZK   3952 72340  34.83  92.27  172 Little Rock, AR
 FWD   3990 72249  32.80  97.30  196 Fort Worth, TX
 TFX   4102 72776  47.45 111.38 1130 Great Falls, MT
 LKN   4105 72582  40.87 115.73 1608 Elko, NV
 OTX   4106 72786  47.68 117.63  728 Spokane, WA
 DTX   4830 72632  42.70  83.47  329 Detroit, MI
 ILX   4833 74560  40.15  89.33  178 Lincoln, IL
 APX   4837 72634  44.55  84.43  448 Gaylord, MI
 EYW  12836 72201  24.55  81.75    1 Key West, FL
 TBW  12842 72210  27.70  82.40   13 Tampa Bay, FL
 XMR  12868 74794  28.48  80.55    5 Cape Kennedy, FL
 BRO  12919 72250  25.90  97.43    7 Brownsville, TX
 CRP  12924 72251  27.77  97.50   14 Corpus Christi, TX
 APG  13701 74002  39.47  76.07    5 Phillips AFB, Aberdeen, MD
 GSO  13723 72317  36.08  79.95  277 Greensboro, NC
 ILN  13841 72426  39.42  83.82  317 Wilmington, OH
 VPS  13858 72221  30.52  86.58   20 Valparaiso/Eglin AFB, FL
 CHS  13880 72208  32.90  80.03   15 Charleston, SC
 JAX  13889 72206  30.43  81.70   10 Jacksonville, FL
 BNA  13897 72327  36.25  86.57  180 Nashville, TN
 FSI  13945 72355  34.65  98.40  362 Fort Sill, OK
 SHV  13957 72248  32.45  93.83   84 Shreveport, LA
 DDC  13985 72451  37.77  99.97  791 Dodge City, KS
 SGF  13995 72440  37.23  93.40  394 Springfield, MO
 TOP  13996 72456  39.07  95.62  268 Topeka, KS
 CAR  14607 72712  46.87  68.02  191 Caribou, ME
 CHH  14684 74494  41.67  69.97   16 Chatham, MA
 BUF  14733 72528  42.93  78.73  218 Buffalo, NY
 GRB  14898 72645  44.48  88.13  210 Green Bay, WI
 INL  14918 72747  48.57  93.38  359 International Falls, MN
 ABR  14929 72659  45.45  98.42  397 Aberdeen, SD
 DRT  22010 72261  29.37 100.92  313 Del Rio, TX
 MAF  23023 72265  31.93 102.20  873 Midland, TX
 AMA  23047 72363  35.23 101.70 1095 Amarillo, TX
 ABQ  23050 72365  35.05 106.62 1619 Albuquerque, NM
 DNR  23062 72469  39.77 104.88 1611 Denver, CO
 GJT  23066 72476  39.12 108.53 1472 Grand Junction, CO
 TWC  23160 72274  32.23 110.96  753 Tucson, AZ
 OAK  23230 72493  37.75 122.22    6 Oakland, CA
 BIS  24011 72764  46.77 100.75  503 Bismarck, ND
 LBF  24023 72562  41.13 100.68  847 North Platte, NE
 RIW  24061 72672  43.06 108.47 1688 Riverton, WY
 SLC  24127 72572  40.77 111.97 1288 Salt Lake City, UT
 BOI  24131 72681  43.57 116.22  871 Boise, ID
 MFR  24225 72597  42.37 122.87  397 Medford, OR
 SLE  24232 72694  44.92 123.02   61 Salem, OR
 FGZ  53103 72376  35.23 111.82 2179 Flagstaff, AZ
 SIL  53813 72233  30.33  89.82    8 Slidell, LA
 FFC  53819 72215  33.35  84.56  246 Peachtree City, GA
 BMX  53823 72230  33.10  86.70  178 Birmingham, AL
 RNK  53829 72318  37.20  80.41  648 Roanoke, VA
 GYX  54762 74389  43.89  70.25  125 Gray, ME
 ALY  54775 72518  42.69  73.83   94 Albany, NY
 UPH  99999 99999  32.94 106.91 1390 Upham, NM
 MFL  92803 72202  25.75  80.38    4 Miami, FL
 NTD  93111 72391  34.10 119.12    2 Point Mugu, CA
 NSI  93116 72291  33.25 119.45   14 San Nicholas Island, CA
 VBG  93214 72393  34.75 120.57  100 Vandenburg, CA
 IAD  93734 72403  38.98  77.47   85 Sterling (Wash. Dulles), VA
 WAL  93739 72402  37.93  75.48   13 Wallops Island, VA
 MHX  93768 72305  34.70  76.80   11 Morehead City/Newport, NC
 TLH  93805 72214  30.45  84.30   52 Tallahasee, FL
 GGW  94008 72768  48.20 106.62  693 Glasgow, MT
 UNR  94043 72662  44.07 103.21 1037 Rapid City, SD
 UIL  94240 72797  47.95 124.55   56 Quillayute, WA
 OKX  94703 72501  40.87  72.87   20 Brookhaven, NY
 PIT  94823 72520  40.53  80.23  360 Pittsburgh, PA
 ORD  94846 72530  41.99  87.93  205 Chicago/O'Hare, IL
 OAX  94980 72558  41.32  96.37  350 Omaha/Valley, NE
 DVN  94982 74455  41.60  90.57  229 Davenport, IA
 MPX  94983 72649  44.83  93.55  287 Minneapolis, MN
 999 974001 74001  34.60  86.62  174 Redstone Arsenal, AL
 999 974005 74005  33.53 112.58  331 Luke AFB, AZ
 999 974626 74626  33.45 111.95  384 Phoenix, AZ
 LMN 974646 74646  36.68  97.47  306 Lamont, OK
 MSN 999999 99999  43.14  89.34  270 Madison, WI
 MKE 999999 99999  42.95  87.90  220 Milwaukee, WI
 BAO 999999 99999  40.03 105.00 1584 BAO Tower, Erie, CO
 GXY 999999 99999  40.44 104.63 1432 Greeley Airport, CO
 PLT 999999 99999  40.18 104.73 1524 Platteville, CO
